cpf,cartao,produto,tipo_conta,data_contestacao,transacao_contestada_valor,data_transacao,hora_transacao,modalidade_fraude,numero_ticket,segmento,tipo_transacao,idade,regiao,uf,estabelecimento,adquirente
45638970274,,Conta Corrente,Conta Corrente,2026-02-13,925.62,2026-02-12,05:50:00,Pix indevido,CC100364,Private,Online,42,Sul,SC,,
28034576107,4740136334807779,Cartão,Conta Corrente,2026-01-12,499.68,2026-01-12,01:40:53,Transação recorrente indevida,TK100078,Personnalité,Online,32,Sul,PR,Mercado Livre,Getnet
42195670894,,Conta Corrente,Conta Corrente,2026-05-03,727.79,2026-05-03,15:30:00,Pix indevido,CC100278,Varejo,Online,49,Sudeste,SP,,
91375026461,,Conta Corrente,Conta Corrente,2026-03-11,1246.34,2026-03-08,08:17:00,Boleto falso,CC100391,Private,Online,60,Sul,PR,,
20135649706,,Conta Corrente,Conta Corrente,2026-01-17,1686.1,2026-01-14,22:30:00,Transferência não reconhecida,CC100436,Personnalité,Online,38,Centro-Oeste,DF,,
48936517066,,Conta Corrente,Conta Corrente,2026-05-31,971.7,2026-05-28,13:29:00,Transferência não reconhecida,CC100290,Varejo,Online,18,Sudeste,ES,,
36598712491,,Conta Corrente,Conta Corrente,2026-01-08,1846.62,2026-01-07,12:00:00,Pix indevido,CC100218,Varejo,Online,43,Sudeste,RJ,,
01368497250,4325757346388879,Cartão,Conta Corrente,2026-01-05,766.57,2026-01-03,05:47:52,Compra não reconhecida,TK100082,Private,Online,27,Sul,SC,Eletrônicos Y,Getnet
17485039601,,Conta Corrente,Conta Corrente,2026-01-13,2025.55,2026-01-10,09:11:00,Boleto falso,CC100433,Varejo,Online,35,Centro-Oeste,GO,,
79043162507,,Conta Corrente,Conta Corrente,2026-05-19,2299.85,2026-05-16,15:36:00,Transferência não reconhecida,CC100403,Personnalité,Online,32,Nordeste,PB,,
10936548215,,Conta Corrente,Conta Corrente,2026-06-29,2464.15,2026-06-29,16:22:00,Pix indevido,CC100291,Private,Online,56,Sudeste,RJ,,
27469851011,4337740018337791,Cartão,Conta Corrente,2026-06-26,1227.99,2026-06-25,22:57:39,Compra não reconhecida,TK100075,Private,Online,22,Sudeste,RJ,Eletrônicos Y,PagSeguro
12579436006,,Conta Corrente,Conta Corrente,2026-05-21,1307.64,2026-05-19,20:49:00,Boleto falso,CC100225,Personnalité,Online,47,Nordeste,BA,,
13825094642,,Conta Corrente,Conta Corrente,2026-01-03,1988.24,2025-12-31,06:44:00,Boleto falso,CC100395,Uniclass,Online,59,Nordeste,CE,,
50814672949,,Conta Corrente,Conta Corrente,2026-06-06,2398.15,2026-06-03,20:47:00,Boleto falso,CC100155,Varejo,Online,43,Sudeste,RJ,,
74561980393,4906446870703292,Cartão,Conta Corrente,2026-02-13,1128.7,2026-02-10,22:14:56,Compra não reconhecida,TK100076,Varejo,Online,52,Sudeste,SP,PlayStation,Rede
71569048339,,Conta Corrente,Conta Corrente,2026-06-11,406.55,2026-06-08,08:05:00,Pix indevido,CC100432,Varejo,Online,26,Sudeste,MG,,
37652814090,,Conta Corrente,Conta Corrente,2026-04-09,1527.21,2026-04-09,22:03:00,Transferência não reconhecida,CC100192,Varejo,Online,18,Centro-Oeste,GO,,
03896451766,4627480997754023,Cartão,Conta Corrente,2026-03-08,1026.18,2026-03-07,01:02:09,Transação recorrente indevida,TK100073,Private,Online,41,Centro-Oeste,MS,Mercado Livre,Getnet
46123578090,,Conta Corrente,Conta Corrente,2026-01-04,100.42,2026-01-02,16:44:00,Transferência não reconhecida,CC100153,Uniclass,Online,32,Sudeste,RJ,,
84536109242,4226141604326675,Cartão,Conta Corrente,2026-02-05,1216.5,2026-02-04,03:40:56,Cartão clonado,TK100009,Varejo,Online,33,Centro-Oeste,GO,PlayStation,PagSeguro
26590741867,,Conta Corrente,Conta Corrente,2026-06-06,1416.83,2026-06-04,03:54:00,Pix indevido,CC100175,Varejo,Online,35,Sudeste,ES,,
49785310205,4910725607370658,Cartão,Conta Corrente,2026-04-03,1125.89,2026-03-30,05:31:48,Phishing,TK100030,Uniclass,Online,62,Nordeste,BA,Steam,Stone
10897426304,,Conta Corrente,Conta Corrente,2026-06-18,42.27,2026-06-15,19:57:00,Transferência não reconhecida,CC100412,Varejo,Online,35,Nordeste,PE,,
10836594215,4983282899797661,Cartão,Conta Corrente,2026-03-31,1589.75,2026-03-30,22:47:14,Cartão clonado,TK100104,Personnalité,Online,38,Nordeste,PB,Eletrônicos Y,Stone
26354108951,,Conta Corrente,Conta Corrente,2026-02-01,276.4,2026-01-29,17:33:00,Transferência não reconhecida,CC100132,Varejo,Online,31,Sudeste,MG,,
68052917395,4866309771405479,Cartão,Conta Corrente,2026-06-20,1254.76,2026-06-18,23:03:23,Cartão clonado,TK100070,Private,Online,27,Sul,RS,PlayStation,Rede
20786139404,,Conta Corrente,Conta Corrente,2026-02-01,411.03,2026-01-31,16:00:00,Pix indevido,CC100360,Private,Online,31,Sudeste,ES,,
24890536124,,Conta Corrente,Conta Corrente,2026-03-20,1077.53,2026-03-17,08:51:00,Pix indevido,CC100423,Personnalité,Online,57,Sudeste,MG,,
86195423700,4762272467108977,Cartão,Conta Corrente,2026-02-14,1221.22,2026-02-13,04:52:49,Phishing,TK100055,Uniclass,Online,46,Sul,RS,Steam,Rede
26957413080,,Conta Corrente,Conta Corrente,2026-02-16,2367.61,2026-02-15,06:11:00,Pix indevido,CC100373,Personnalité,Online,29,Norte,AM,,
03896451766,,Conta Corrente,Conta Corrente,2026-01-13,270.99,2026-01-11,05:37:00,Transferência não reconhecida,CC100361,Private,Online,41,Centro-Oeste,MS,,
41208397532,,Conta Corrente,Conta Corrente,2026-03-04,567.88,2026-03-01,08:52:00,Boleto falso,CC100181,Varejo,Online,21,Sul,PR,,
65832109759,,Conta Corrente,Conta Corrente,2026-05-31,1673.6,2026-05-31,17:58:00,Boleto falso,CC100418,Uniclass,Online,40,Sudeste,RJ,,
78396412022,,Conta Corrente,Conta Corrente,2026-02-11,801.34,2026-02-08,00:38:00,Boleto falso,CC100367,Personnalité,Online,33,Sul,RS,,
65843102726,4199513730033512,Cartão,Conta Corrente,2026-02-15,696.92,2026-02-13,01:10:05,Compra não reconhecida,TK100072,Uniclass,Online,54,Sul,RS,Mercado Livre,Getnet
97051462334,,Conta Corrente,Conta Corrente,2026-05-11,1671.96,2026-05-09,22:21:00,Transferência não reconhecida,CC100203,Personnalité,Online,78,Sul,SC,,
61850497249,4503355128074871,Cartão,Conta Corrente,2026-04-10,1301.45,2026-04-09,22:38:03,Compra não reconhecida,TK100101,Varejo,Online,28,Sudeste,ES,PlayStation,Rede
38617452080,4182902467684615,Cartão,Conta Corrente,2026-01-30,913.89,2026-01-27,04:50:51,Cartão clonado,TK100039,Uniclass,Online,23,Sudeste,ES,PlayStation,Getnet
51987024397,,Conta Corrente,Conta Corrente,2026-01-31,1889.75,2026-01-31,17:29:00,Pix indevido,CC100317,Varejo,Online,27,Nordeste,RN,,
17984326509,,Conta Corrente,Conta Corrente,2026-06-27,2195.64,2026-06-25,08:38:00,Pix indevido,CC100338,Personnalité,Online,46,Sudeste,MG,,
92360814796,,Conta Corrente,Conta Corrente,2026-02-13,1216.69,2026-02-12,21:21:00,Pix indevido,CC100131,Uniclass,Online,51,Sudeste,MG,,
91784032603,,Conta Corrente,Conta Corrente,2026-06-01,479.84,2026-05-30,00:47:00,Transferência não reconhecida,CC100234,Varejo,Online,45,Nordeste,PB,,
69723548038,4856429925360624,Cartão,Conta Corrente,2026-06-27,959.99,2026-06-23,22:44:33,Engenharia social,TK100079,Private,Online,48,Norte,RO,PlayStation,Stone
62857413955,,Conta Corrente,Conta Corrente,2026-06-05,2207.32,2026-06-03,17:23:00,Pix indevido,CC100154,Uniclass,Online,27,Sudeste,RJ,,
13798520488,4955514872476140,Cartão,Conta Corrente,2026-05-04,667.29,2026-05-04,06:04:16,Cartão clonado,TK100033,Private,Online,51,Sudeste,RJ,Loja Online X,Getnet
57824096149,,Conta Corrente,Conta Corrente,2026-01-26,1588.39,2026-01-26,20:49:00,Boleto falso,CC100157,Uniclass,Online,47,Sudeste,ES,,
29034756106,,Conta Corrente,Conta Corrente,2026-06-21,85.01,2026-06-18,19:49:00,Transferência não reconhecida,CC100357,Uniclass,Online,34,Centro-Oeste,MT,,
05984326710,4590295371513289,Cartão,Conta Corrente,2026-02-07,1413.64,2026-02-05,04:46:04,Cartão clonado,TK100077,Varejo,Online,18,Sudeste,ES,Mercado Livre,Cielo
03297481650,,Conta Corrente,Conta Corrente,2026-02-15,118.67,2026-02-15,21:28:00,Boleto falso,CC100250,Varejo,Online,63,Sul,SC,,
10362894787,,Conta Corrente,Conta Corrente,2026-05-31,1573.6,2026-05-28,18:53:00,Pix indevido,CC100383,Uniclass,Online,35,Nordeste,BA,,
51472390814,4082989296358026,Cartão,Conta Corrente,2026-01-24,567.85,2026-01-20,05:38:45,Compra não reconhecida,TK100015,Varejo,Online,19,Sul,RS,Eletrônicos Y,Cielo
96742130580,,Conta Corrente,Conta Corrente,2026-04-16,352.91,2026-04-13,13:22:00,Boleto falso,CC100380,Varejo,Online,18,Centro-Oeste,DF,,
41208397532,,Conta Corrente,Conta Corrente,2026-05-26,1163.24,2026-05-23,12:46:00,Boleto falso,CC100126,Varejo,Online,21,Sul,PR,,
35412608906,4409802035794035,Cartão,Conta Corrente,2026-04-07,1642.58,2026-04-04,22:54:18,Cartão clonado,TK100000,Varejo,Online,23,Sudeste,SP,Eletrônicos Y,Rede
81357649010,4879282156161020,Cartão,Conta Corrente,2026-05-21,1467.85,2026-05-21,01:05:06,Cartão clonado,TK100019,Varejo,Online,47,Nordeste,BA,Loja Online X,Getnet
87254103932,,Conta Corrente,Conta Corrente,2026-01-20,1404.99,2026-01-19,20:35:00,Pix indevido,CC100280,Varejo,Online,36,Sudeste,SP,,
12654873919,,Conta Corrente,Conta Corrente,2026-04-30,894.21,2026-04-27,17:35:00,Pix indevido,CC100289,Uniclass,Online,43,Sul,PR,,
27816049501,4844172072224319,Cartão,Conta Corrente,2026-02-17,1018.83,2026-02-16,01:18:42,Cartão clonado,TK100056,Varejo,Online,56,Nordeste,CE,PlayStation,Cielo
75629013840,,Conta Corrente,Conta Corrente,2026-04-24,2135.28,2026-04-21,08:35:00,Pix indevido,CC100220,Varejo,Online,46,Sudeste,SP,,
64051873900,,Conta Corrente,Conta Corrente,2026-06-14,219.81,2026-06-14,13:48:00,Transferência não reconhecida,CC100341,Varejo,Online,42,Sudeste,ES,,
87216394500,4499258362914231,Cartão,Conta Corrente,2026-02-25,1561.71,2026-02-23,04:53:44,Compra não reconhecida,TK100093,Varejo,Online,18,Sudeste,SP,Steam,Stone
52894317050,,Conta Corrente,Conta Corrente,2026-03-21,1867.23,2026-03-20,15:27:00,Pix indevido,CC100329,Varejo,Online,21,Sul,RS,,
23860497103,,Conta Corrente,Conta Corrente,2026-06-17,881.49,2026-06-17,12:26:00,Boleto falso,CC100285,Uniclass,Online,29,Sul,RS,,
09176482340,,Conta Corrente,Conta Corrente,2026-01-11,596.13,2026-01-09,20:26:00,Boleto falso,CC100284,Personnalité,Online,37,Sudeste,SP,,
05628947130,,Conta Corrente,Conta Corrente,2026-03-08,1542.26,2026-03-05,06:54:00,Pix indevido,CC100371,Varejo,Online,35,Sudeste,ES,,
24586107308,4494346814391456,Cartão,Conta Corrente,2026-04-13,1031.71,2026-04-11,02:53:16,Compra não reconhecida,TK100025,Uniclass,Online,40,Sudeste,MG,PlayStation,Stone
68349201703,,Conta Corrente,Conta Corrente,2026-04-05,239.99,2026-04-04,18:20:00,Transferência não reconhecida,CC100365,Varejo,Online,18,Nordeste,RN,,
38264971555,,Conta Corrente,Conta Corrente,2026-05-16,1390.99,2026-05-13,23:42:00,Transferência não reconhecida,CC100416,Varejo,Online,30,Norte,AM,,
96573841093,4949762273570507,Cartão,Conta Corrente,2026-02-20,854.11,2026-02-18,03:17:55,Phishing,TK100113,Uniclass,Online,61,Sudeste,MG,PlayStation,PagSeguro
21058763903,4318510127245273,Cartão,Conta Corrente,2026-05-03,1159.13,2026-04-30,01:26:52,Transação recorrente indevida,TK100042,Varejo,Online,43,Sul,PR,Mercado Livre,Getnet
91862054398,,Conta Corrente,Conta Corrente,2026-06-21,1344.88,2026-06-18,14:57:00,Boleto falso,CC100165,Uniclass,Online,39,Sul,PR,,
65274803180,,Conta Corrente,Conta Corrente,2026-05-12,2365.95,2026-05-09,05:01:00,Pix indevido,CC100415,Uniclass,Online,45,Norte,TO,,
91208345788,,Conta Corrente,Conta Corrente,2026-03-23,1986.03,2026-03-22,20:04:00,Boleto falso,CC100411,Private,Online,29,Sudeste,RJ,,
10328694703,,Conta Corrente,Conta Corrente,2026-05-05,2087.81,2026-05-05,22:49:00,Transferência não reconhecida,CC100312,Private,Online,32,Sudeste,ES,,
25816347900,,Conta Corrente,Conta Corrente,2026-02-16,399.11,2026-02-16,16:11:00,Transferência não reconhecida,CC100124,Varejo,Online,39,Nordeste,RN,,
43019752680,,Conta Corrente,Conta Corrente,2026-06-06,1688.82,2026-06-05,04:13:00,Pix indevido,CC100305,Personnalité,Online,24,Nordeste,PE,,
17806295402,4238307666387560,Cartão,Conta Corrente,2026-05-23,839.39,2026-05-21,22:38:28,Compra não reconhecida,TK100022,Varejo,Online,31,Sudeste,SP,PlayStation,Getnet
50613924851,4126334591130764,Cartão,Conta Corrente,2026-01-31,1305.39,2026-01-29,02:08:11,Compra não reconhecida,TK100046,Varejo,Online,62,Sudeste,MG,PlayStation,Cielo
93482560765,4043813155962932,Cartão,Conta Corrente,2026-05-16,592.61,2026-05-14,23:08:46,Engenharia social,TK100090,Personnalité,Online,58,Sudeste,ES,Steam,Rede
85637042144,,Conta Corrente,Conta Corrente,2026-06-13,275.72,2026-06-10,00:28:00,Pix indevido,CC100245,Personnalité,Online,29,Nordeste,PE,,
48125907602,4628208092416675,Cartão,Conta Corrente,2026-03-04,1192.56,2026-03-04,01:44:38,Phishing,TK100116,Varejo,Online,40,Sul,SC,Loja Online X,Rede
65314790866,,Conta Corrente,Conta Corrente,2026-03-08,2394.15,2026-03-07,08:43:00,Transferência não reconhecida,CC100425,Personnalité,Online,31,Sudeste,ES,,
96432781078,4905955439769649,Cartão,Conta Corrente,2026-02-04,1262.83,2026-02-02,03:36:09,Compra não reconhecida,TK100057,Uniclass,Online,39,Sul,PR,Eletrônicos Y,Cielo
92317065868,,Conta Corrente,Conta Corrente,2026-05-02,1700.78,2026-04-30,05:57:00,Pix indevido,CC100137,Varejo,Online,50,Norte,PA,,
17264053970,4863690010443442,Cartão,Conta Corrente,2026-06-12,785.05,2026-06-11,06:36:03,Cartão clonado,TK100024,Personnalité,Online,31,Sudeste,MG,Steam,Stone
84059273104,4908350500374585,Cartão,Conta Corrente,2026-04-21,749.56,2026-04-19,06:48:13,Phishing,TK100017,Uniclass,Online,24,Sudeste,MG,PlayStation,Stone
50682437956,4041641673653541,Cartão,Conta Corrente,2026-01-05,410.57,2026-01-03,03:25:34,Cartão clonado,TK100066,Varejo,Online,37,Sudeste,RJ,Loja Online X,PagSeguro
65197034866,,Conta Corrente,Conta Corrente,2026-03-13,392.38,2026-03-10,05:14:00,Pix indevido,CC100265,Varejo,Online,19,Sudeste,ES,,
65409182758,,Conta Corrente,Conta Corrente,2026-04-29,517.53,2026-04-27,06:24:00,Pix indevido,CC100406,Uniclass,Online,43,Sudeste,MG,,
90123546761,4881170806011040,Cartão,Conta Corrente,2026-03-18,1486.74,2026-03-15,04:44:14,Cartão clonado,TK100031,Uniclass,Online,50,Nordeste,BA,Loja Online X,PagSeguro
63415087948,4079929372262998,Cartão,Conta Corrente,2026-06-09,1400.07,2026-06-09,05:29:38,Compra não reconhecida,TK100084,Personnalité,Online,49,Sudeste,RJ,Eletrônicos Y,PagSeguro
49761385264,,Conta Corrente,Conta Corrente,2026-05-21,2049.38,2026-05-18,13:27:00,Pix indevido,CC100378,Personnalité,Online,42,Sul,PR,,
65148207949,,Conta Corrente,Conta Corrente,2026-03-30,360.46,2026-03-28,07:18:00,Boleto falso,CC100173,Varejo,Online,53,Sudeste,RJ,,
04798216313,4502053965223451,Cartão,Conta Corrente,2026-06-06,1637.15,2026-06-04,22:23:47,Phishing,TK100094,Uniclass,Online,38,Centro-Oeste,MS,Mercado Livre,PagSeguro
84976513246,,Conta Corrente,Conta Corrente,2026-02-19,2191.72,2026-02-19,21:37:00,Transferência não reconhecida,CC100227,Varejo,Online,41,Sudeste,MG,,
59730864101,,Conta Corrente,Conta Corrente,2026-01-08,1213.67,2026-01-07,16:42:00,Boleto falso,CC100429,Varejo,Online,73,Sudeste,RJ,,
36107594299,,Conta Corrente,Conta Corrente,2026-01-21,2496.8,2026-01-21,19:01:00,Transferência não reconhecida,CC100152,Varejo,Online,41,Sudeste,SP,,
81062547390,,Conta Corrente,Conta Corrente,2026-03-25,1847.96,2026-03-23,04:47:00,Transferência não reconhecida,CC100355,Uniclass,Online,33,Sudeste,RJ,,
46798305148,,Conta Corrente,Conta Corrente,2026-02-02,716.7,2026-02-02,09:47:00,Pix indevido,CC100272,Personnalité,Online,59,Sudeste,ES,,
04813957684,,Conta Corrente,Conta Corrente,2026-04-03,2443.96,2026-04-01,18:51:00,Transferência não reconhecida,CC100419,Varejo,Online,48,Nordeste,PE,,
51638724008,4284556818821831,Cartão,Conta Corrente,2026-06-09,1299.51,2026-06-08,03:19:14,Engenharia social,TK100005,Varejo,Online,48,Sudeste,ES,Loja Online X,Rede
32967085103,4284173567013442,Cartão,Conta Corrente,2026-07-01,660.96,2026-06-29,03:21:51,Compra não reconhecida,TK100045,Varejo,Online,45,Centro-Oeste,DF,Loja Online X,PagSeguro
84509273150,,Conta Corrente,Conta Corrente,2026-05-25,2150.23,2026-05-24,09:24:00,Transferência não reconhecida,CC100148,Private,Online,62,Sudeste,SP,,
38401765900,,Conta Corrente,Conta Corrente,2026-04-13,815.82,2026-04-12,10:17:00,Boleto falso,CC100428,Varejo,Online,31,Nordeste,BA,,
32798415691,,Conta Corrente,Conta Corrente,2026-02-01,2199.6,2026-01-29,14:53:00,Transferência não reconhecida,CC100377,Varejo,Online,49,Sudeste,SP,,
63457289182,,Conta Corrente,Conta Corrente,2026-04-10,566.86,2026-04-07,23:46:00,Transferência não reconhecida,CC100275,Uniclass,Online,60,Sudeste,ES,,
30476812526,4260264900641157,Cartão,Conta Corrente,2026-04-05,1111.82,2026-04-02,02:33:04,Transação recorrente indevida,TK100016,Uniclass,Online,31,Sudeste,SP,Mercado Livre,PagSeguro
41925736873,,Conta Corrente,Conta Corrente,2026-02-09,682.65,2026-02-08,18:56:00,Transferência não reconhecida,CC100404,Personnalité,Online,37,Centro-Oeste,DF,,
41658729382,4816305243268253,Cartão,Conta Corrente,2026-02-25,879.36,2026-02-23,22:28:11,Compra não reconhecida,TK100117,Varejo,Online,38,Sudeste,MG,Mercado Livre,PagSeguro
27568301435,,Conta Corrente,Conta Corrente,2026-06-22,1726.38,2026-06-19,17:21:00,Transferência não reconhecida,CC100409,Personnalité,Online,55,Sudeste,MG,,
92147053643,4127154603269471,Cartão,Conta Corrente,2026-01-24,680.92,2026-01-21,03:18:45,Compra não reconhecida,TK100003,Personnalité,Online,30,Nordeste,PE,Mercado Livre,Getnet
80165492333,4539395267597154,Cartão,Conta Corrente,2026-04-18,1522.04,2026-04-17,05:01:24,Cartão clonado,TK100018,Personnalité,Online,44,Sudeste,ES,Steam,Rede
51472390814,,Conta Corrente,Conta Corrente,2026-04-08,1141.31,2026-04-08,17:38:00,Transferência não reconhecida,CC100168,Varejo,Online,19,Sul,RS,,
83961254060,4490705480783542,Cartão,Conta Corrente,2026-03-12,1297.83,2026-03-09,03:41:57,Compra não reconhecida,TK100060,Personnalité,Online,58,Nordeste,PE,Steam,Cielo
92845367155,,Conta Corrente,Conta Corrente,2026-01-23,2469.52,2026-01-23,10:08:00,Boleto falso,CC100314,Uniclass,Online,38,Sul,RS,,
20318795612,,Conta Corrente,Conta Corrente,2026-06-03,1260.63,2026-06-03,11:41:00,Pix indevido,CC100356,Varejo,Online,47,Sudeste,MG,,
72083615417,4229975143844450,Cartão,Conta Corrente,2026-04-09,828.86,2026-04-06,23:09:03,Engenharia social,TK100063,Varejo,Online,36,Sul,RS,Loja Online X,Getnet
43570826929,4342682715470827,Cartão,Conta Corrente,2026-05-31,864.91,2026-05-28,03:31:49,Cartão clonado,TK100110,Varejo,Online,51,Sudeste,ES,Mercado Livre,Stone
82047159350,,Conta Corrente,Conta Corrente,2026-04-11,2232.29,2026-04-11,12:01:00,Transferência não reconhecida,CC100277,Varejo,Online,30,Sudeste,RJ,,
07241538617,,Conta Corrente,Conta Corrente,2026-04-23,2315.11,2026-04-23,09:50:00,Boleto falso,CC100358,Varejo,Online,31,Sudeste,RJ,,
79814630250,4751860061790537,Cartão,Conta Corrente,2026-04-27,873.39,2026-04-26,06:59:51,Cartão clonado,TK100029,Personnalité,Online,49,Sudeste,MG,Mercado Livre,Getnet
28069413778,,Conta Corrente,Conta Corrente,2026-05-04,499.44,2026-05-01,06:55:00,Pix indevido,CC100140,Varejo,Online,18,Sul,RS,,
19780452397,,Conta Corrente,Conta Corrente,2026-06-30,182.53,2026-06-30,17:36:00,Pix indevido,CC100211,Personnalité,Online,24,Sudeste,MG,,
92845367155,,Conta Corrente,Conta Corrente,2026-01-21,1107.45,2026-01-21,09:25:00,Transferência não reconhecida,CC100229,Uniclass,Online,38,Sul,RS,,
72194385088,4245336030120697,Cartão,Conta Corrente,2026-06-16,384.44,2026-06-15,02:02:05,Phishing,TK100026,Uniclass,Online,37,Sudeste,MG,Eletrônicos Y,Cielo
13825094642,4903237685610666,Cartão,Conta Corrente,2026-06-16,872.62,2026-06-13,05:42:13,Compra não reconhecida,TK100007,Uniclass,Online,59,Nordeste,CE,Eletrônicos Y,Cielo
05972643170,,Conta Corrente,Conta Corrente,2026-04-27,58.99,2026-04-27,13:19:00,Pix indevido,CC100176,Varejo,Online,48,Sudeste,ES,,
27801496396,,Conta Corrente,Conta Corrente,2026-02-22,1022.94,2026-02-22,16:25:00,Transferência não reconhecida,CC100397,Varejo,Online,41,Sudeste,ES,,
