cpf_em_texto_14,cartao_mascarado,data,hora,valor,estabelecimento,ramo,tipo_transacao,adquirente,status
721.943.850-88,424533******0697,2026-02-01,05:22:09,19.16,Mercado Livre,E-commerce,Online,Cielo,Aprovada
537.428.190-97,453898******4144,2026-03-07,18:45:45,94.82,iFood,Alimentação,Presencial,Rede,Aprovada
043.967.281-31,473390******0775,2026-03-07,13:55:26,32.36,iFood,Alimentação,Presencial,Cielo,Aprovada
506.139.248-51,412633******0764,2026-02-17,19:07:15,63.29,Eletrônicos Y,Tecnologia,Presencial,Getnet,Aprovada
347.982.560-56,478087******4524,2026-05-09,09:02:53,69.06,Amazon BR,E-commerce,Presencial,Cielo,Aprovada
795.648.231-37,490062******3964,2026-02-09,20:07:31,76.89,Spotify,Assinaturas,Presencial,Cielo,Aprovada
468.752.309-92,477272******5181,2026-03-20,23:41:42,144.46,Renner,Varejo,Online,PagSeguro,Aprovada
081.946.375-20,425345******9728,2026-04-01,04:34:25,83.17,Google,Tecnologia,Presencial,Getnet,Negada
985.347.216-37,431328******6820,2026-01-08,19:00:02,61.44,Eletrônicos Y,Tecnologia,Presencial,Getnet,Aprovada
260.185.497-94,434095******8960,2026-02-20,00:49:38,27.41,Mercado Livre,E-commerce,Presencial,Rede,Aprovada
923.074.561-80,446866******4477,2026-01-13,16:30:37,43.89,Spotify,Assinaturas,Presencial,Cielo,Aprovada
043.967.281-31,473390******0775,2026-04-26,11:18:43,26.98,Drogasil,Farmácia,Presencial,PagSeguro,Aprovada
794.032.165-06,483457******9945,2026-05-20,21:30:00,33.0,Loja Online X,E-commerce,Presencial,Stone,Aprovada
125.890.736-40,471426******7884,2026-06-08,16:10:04,112.41,PlayStation,Games,Presencial,Getnet,Aprovada
072.415.386-17,425408******2614,2026-03-02,07:25:49,29.53,Pão de Açúcar,Supermercado,Presencial,PagSeguro,Aprovada
294.871.536-91,465963******8766,2026-04-01,01:36:17,45.86,Amazon BR,E-commerce,Online,PagSeguro,Aprovada
150.492.863-60,439658******4623,2026-06-23,12:32:16,198.34,Shell,Combustível,Presencial,Rede,Aprovada
072.816.943-69,473922******2982,2026-04-02,05:54:10,45.37,PlayStation,Games,Presencial,Cielo,Aprovada
041.263.897-50,461541******8543,2026-02-11,03:51:08,38.62,Booking,Viagens,Presencial,Rede,Aprovada
982.710.534-50,457567******4373,2026-01-15,08:13:56,30.73,Raia,Farmácia,Presencial,Rede,Aprovada
376.528.140-90,401029******8608,2026-03-29,02:29:25,17.87,Booking,Viagens,Presencial,Stone,Aprovada
280.571.493-88,435695******2808,2026-04-25,12:43:21,15.65,Renner,Varejo,Presencial,PagSeguro,Aprovada
195.268.307-68,472394******8331,2026-05-14,17:33:23,69.2,Mercado Livre,E-commerce,Presencial,Getnet,Aprovada
032.679.584-74,418825******8627,2026-04-29,18:31:50,25.6,Mercado Livre,E-commerce,Presencial,Stone,Aprovada
794.032.165-06,483457******9945,2026-04-24,10:00:58,39.63,Spotify,Assinaturas,Presencial,Stone,Aprovada
562.890.417-11,406602******3403,2026-04-28,21:45:14,47.04,iFood,Alimentação,Online,Rede,Aprovada
915.307.248-05,463228******5047,2026-03-02,07:51:52,75.01,Renner,Varejo,Presencial,Getnet,Aprovada
943.506.281-42,477247******0630,2026-02-20,07:09:05,27.68,Uber,Mobilidade,Online,Getnet,Aprovada
720.836.154-17,422997******4450,2026-05-29,03:49:09,23.46,Drogasil,Farmácia,Online,Rede,Aprovada
214.369.850-05,452266******7429,2026-01-10,07:03:12,39.56,Decathlon,Esportes,Online,Rede,Aprovada
620.751.349-52,456099******2093,2026-05-29,22:23:10,28.46,Apple,Tecnologia,Online,Getnet,Aprovada
753.260.189-77,455998******8344,2026-06-01,06:47:16,53.32,Uber,Mobilidade,Presencial,PagSeguro,Aprovada
738.952.601-77,422058******3643,2026-06-05,07:50:19,51.55,Booking,Viagens,Presencial,Stone,Aprovada
214.973.860-04,448654******4147,2026-04-18,05:25:04,20.34,Shell,Combustível,Presencial,Getnet,Aprovada
419.257.368-73,475320******5675,2026-03-06,13:24:43,117.56,LATAM,Viagens,Presencial,Stone,Aprovada
691.348.527-19,405792******5893,2026-02-28,22:08:36,78.79,Eletrônicos Y,Tecnologia,Online,Stone,Aprovada
586.741.092-76,430761******9785,2026-01-04,06:41:36,26.5,Spotify,Assinaturas,Presencial,Cielo,Aprovada
032.719.654-80,446080******4008,2026-03-20,12:44:05,78.46,Netshoes,Varejo,Presencial,Stone,Aprovada
